patterns,attr,value,state,child_tag,contain_text
"id=""comp-iijxwlj5showMore""",id,comp-iijxwlj5showMore,equal,,
"id=""A_Pager_Next"" class=""page-link""",id,A_Pager_Next,equal,,
"<a id=""page-next"" aria-label=""Next"">",id,page-next,equal,,
"id=""ImageButtonNext""",id,ImageButtonNext,equal,,
"class=""glyphicon glyphicon-menu-right""",class,glyphicon glyphicon-menu-right,equal,,
"<div id=""bluegreen""",refreshData,bluegreen,equal,,
"<div id=""black2""",refreshData,black2,equal,,
"<div id=""black""",refreshData,black,equal,,
"<a id=""moreVehiclesLink""",id,moreVehiclesLink,equal,/span,
"<i class=""fa fa-angle-right""",class,fa fa-angle-right,equal,,
"class=""button next-page""",class,button next-page,equal,,
"class=""rdpPageNext""",class,rdpPageNext,equal,,
"class=""fa fa-angle-right stat-arrow-next""",class,fa fa-angle-right stat-arrow-next,equal,,
"class=""ar_navbtnr""",class,ar_navbtnr,equal,,Next
"class=""inventory-pagination_link js-pagination-btn"" data-limit=",class,inventory-pagination_link js-pagination-btn,equal,,
"class=""fa fa-caret-right""",class,fa fa-caret-right,equal,,
"id=""comp-iijxwlj5showMore""",id,comp-iijxwlj5showMore,equal,,
"class=""fa fa-arrow-circle-o-right""",class,fa fa-arrow-circle-o-right,equal,,
"class=""breadcrumb-pages-list""",class,breadcrumb-pages-list,equal,/a[last()],
"class=""ion-ios-arrow-forward""",class,ion-ios-arrow-forward,equal,,
"class=""fas fa-chevron-right""",class,fas fa-chevron-right,equal,,
"class=""page-link next btn btn-default""",class,page-link next btn btn-default,equal,,
"class=""paginate_button next""",class,paginate_button next,equal,,
"class=""pagination list-unstyled""",class,pagination list-unstyled,equal,/li[last()]/a,
"class=""pagination-label""",class,next-page,equal,/span[first()],
"class=""btn btn-link btn-xs""",class,pagination,contain,/li[last()]/a,
<span>Next</span>,text,Next,equal,,
"class=""glyphicon glyphicon-chevron-right""",class,glyphicon glyphicon-chevron-right,equal,,
"class=""fa fa-chevron-right""",class,fa fa-chevron-right,equal,,
"class=""nxt""",class,nxt,equal,,
"class=""a123Arrow a123Left""",class,a123Pager,equal,"/a[@class=""a123Link a123SingleRightArrow a123Clearfix""]/span",
"class=""ddc-icon ddc-icon-arrow1-right ddc-icon-size-xsmall""",class,next,equal,/a,
"class=""pagination interceptible""",class,pagination interceptible,equal,/li[last()]/a,
"<li data-lp=""2"" class=""next"" rel=""next""><a",class,next,equal,/a,
"class=""next"">Next",class,next,equal,,
"class=""fa fa-arrow-right""",class,fa fa-arrow-right,equal,,
"class=""page-navigation-button next-page""",class,page-navigation-button next-page,equal,,
"rel=""next"">Next</a>",rel,next,equal,,
"class=""icon-right""",class,icon-right,equal,,
"class=""inv-pagination-page-next""",class,inv-pagination-page-next,equal,/a,
"id=""ctl00_Content_lnkMoveNext""",id,ctl00_Content_lnkMoveNext,equal,,
"class=""btn-form btn next"">Next",class,btn-form btn next,equal,,
"<li class=""next""><a",class,next,equal,/a,
>|Next »<,text,|Next »,equal,,
"class=""pagination_wrapper""",class,pagination_wrapper,equal,/ul/li[last()]/a,
"class=""pagination""",class,pagination,equal,/ul/li[last()]/a,
>›<,text,›,equal,,
>next<,text,next,equal,,
>Next »<,text,Next »,equal,,
"<ul class=""pagination custom-pagination-top right"">",class,pagination custom-pagination-top right,equal,/li/a,
"<p class=""paging"">",class,paging,equal,/a,
"<ul class=""page_number pagination"">",class,page_number pagination,equal,/li[last()]/a,
"<select class=""ListingsDropdown"" name=""page""",option,page,equal,,
>><,text,>,equal,,
"<li class=""next"" id=""nextPage"">",id,nextPage,equal,,
"<a id=""pageNext""",id,pageNext,equal,,
"<div class=""page right"">",class,page right,equal,,
"<a class=""next page-numbers""",class,next page-numbers,equal,,
"<a class=""nextpostslink"" rel=""next""",class,nextpostslink,equal,,
"class=""next"" title=""Next Page"" data-page",class,next,equal,,
